Rank,Course_Name,Yards,Par,Points,Location,Architect,Year_Built,Restoration_Architect,Year_Restored,Latitude,Longitude
1,PINE VALLEY G.C.,7181,70,72.0078,Pine Valley N.J.,George Crump & H.S. Colt,1918,Tom Fazio,2017,39.792235,-74.972227
2,AUGUSTA NATIONAL G.C.,7435,72,71.5810,Augusta Ga.,Alister MacKenzie & Bobby Jones,1933,Tom Fazio,2018,33.502354,-82.022577
3,CYPRESS POINT CLUB,6524,72,69.6830,Pebble Beach Cal.,Alister MacKenzie & Robert Hunter,1929,Jeff Markow,2004,36.580509,-121.974148
4,SHINNECOCK HILLS G.C.,7445,70,69.2526,Shinnecock Hills N.Y.,William Flynn,1931,Bill Coore & Ben Crenshaw,2012,40.894252,-72.439777
5,OAKMONT C.C.,7255,71,68.9218,Oakmont Pa.,Henry Fownes,1903,Tom Fazio,2014,40.526148,-79.82686899999999
6,MERION G.C. (East),6996,70,67.8860,Marion Pa.,Hugh Wilson,1912,Gil Hanse,2018,40.002115,-75.311825
7,PEBBLE BEACH G. LINKS,6828,72,67.5261,Pebble Beach Cal.,Jack Neville & Douglas Grant,1919,Arnold Palmer & Thad Layton,2016,36.569888,-121.949766
8,NATIONAL G. LINKS OF AMERICA,6935,72,67.3855,Southampton N.Y.,C.B. Macdonald,1911,Karl Olson,1994,40.915639,-72.449685
9,SAND HILLS G.C.,7089,71,66.3549,Sand Hills N.E.,Bill Coore & Ben Crenshaw,1995,(Original Design),(Original Design),41.855487,-101.092794
10,FISHERS ISLAND CLUB,6615,70,66.1937,Fishers Island N.Y.,Seth Raynor & Charles Banks,1926,Gil Hanse,2000,41.280167999999996,-71.948782
11,WINGED FOOT G.C. (West),7426,72,66.1885,Mamaroneck N.Y.,A.W. Tillinghast,1923,Gil Hanse,2017,40.957914,-73.753538
12,SEMINOLE G.C.,6836,72,65.9329,Juno Beach Fla.,Donald Ross,1929,Bill Coore & Ben Crenshaw,2017,26.860346000000003,-80.04735
13,CRYSTAL DOWNS C.C.,6560,70,65.6377,Frankfort Mich.,Alister MacKenzie & Perry Maxwell,1931,Tom Doak,2018,44.702604,-86.23465300000001
14,CHICAGO G.C.,6877,70,65.5659,Wheaton Ill.,C.B. Macdonald,1894,Seth Raynor & Tom Doak,1922 & 2002,41.849607,-88.115714
15,FRIAR'S HEAD G.C.,7071,71,65.2092,Baiting Hollow N.Y.,Bill Coore & Ben Crenshaw,2002,(Original Design),(Original Design),40.965569,-72.725673
